Journal_Name,Index_Category
Australian Journal of Linguistics,SSCI/SCI/AHCI
AUSTRALIAN JOURNAL OF POLITICS AND HISTORY,SSCI/SCI/AHCI
Australian Journal of Primary Health,SSCI/SCIE/SCI
Australian Journal of Rural Health,SSCI/SCIE/SCI
Austrian History Yearbook,SSCI/SCI/AHCI
Autism Research,SSCI/SCIE/SCI
Ayer,SSCI/SCI/AHCI
Babel-Revue Internationale de la Traduction-International Journal of Translation,SSCI/SCI/AHCI
Bariatric Surgical Practice and Patient Care,SSCI/SCIE/SCI
BEHAVIORAL AND BRAIN SCIENCES,SSCI/SCIE/SCI
BEHAVIORAL MEDICINE,SSCI/SCIE/SCI
BEHAVIOR GENETICS,SSCI/SCIE/SCI
Behavioural Processes,SSCI/SCIE/SCI
BEHAVIOUR & INFORMATION TECHNOLOGY,SSCI/SCIE/SCI
Berichte zur Wissenschaftsgeschichte,SSCI/SCIE/SCI/AHCI
BIJDRAGEN TOT DE TAAL- LAND- EN VOLKENKUNDE,SSCI/SCI/AHCI
BIOETHICS,SSCI/SCIE/SCI
BIOLOGICAL PSYCHOLOGY,SSCI/SCIE/SCI
BIOLOGY & PHILOSOPHY,SSCI/SCIE/SCI/AHCI
Biosemiotics,SSCI/SCIE/SCI/AHCI
BIRTH-ISSUES IN PERINATAL CARE,SSCI/SCIE/SCI
BJPsych Open,SSCI/SCIE/SCI
BMC Geriatrics,SSCI/SCIE/SCI
BMC Medical Education,SSCI/SCIE/SCI
BMC Medical Ethics,SSCI/SCIE/SCI
BMC NURSING,SSCI/SCIE/SCI
BMC Palliative Care,SSCI/SCIE/SCI
BMC Womens Health,SSCI/SCIE/SCI
BMGN-The Low Countries Historical Review,SSCI/SCI/AHCI
BMJ Global Health,SSCI/SCIE/SCI
BMJ Quality & Safety,SSCI/SCIE/SCI
BMJ Sexual & Reproductive Health,SSCI/SCIE/SCI
Bollettino di Storia delle Scienze Matematiche,SCIE/SCI/AHCI
BOUNDARY 2-AN INTERNATIONAL JOURNAL OF LITERATURE AND CULTURE,SSCI/SCI/AHCI
BRAIN AND COGNITION,SSCI/SCIE/SCI
BRAIN AND LANGUAGE,SSCI/SCIE/SCI
BRAIN INJURY,SSCI/SCIE/SCI
