Journal_Name,Index_Category
INTERNATIONAL JOURNAL OF METHODS IN PSYCHIATRIC RESEARCH,SSCI/SCIE/SCI
International Journal of Multilingualism,SSCI/SCI/AHCI
International Journal of Music Education,SSCI/SCI/AHCI
International Journal of Nursing Knowledge,SSCI/SCIE/SCI
International Journal of Nursing Practice,SSCI/SCIE/SCI
INTERNATIONAL JOURNAL OF NURSING STUDIES,SSCI/SCIE/SCI
International Journal of Older People Nursing,SSCI/SCIE/SCI
INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY,SSCI/SCI/AHCI
INTERNATIONAL JOURNAL OF PSYCHIATRY IN MEDICINE,SSCI/SCIE/SCI
INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,SSCI/SCIE/SCI
International Journal of Public Health,SSCI/SCIE/SCI
INTERNATIONAL JOURNAL OF REHABILITATION RESEARCH,SSCI/SCIE/SCI
International Journal of Social Determinants of Health and Health Services,SSCI/SCIE/SCI
International Journal of Speech-Language Pathology,SSCI/SCIE/SCI
INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY,SSCI/SCIE/SCI
INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION,SSCI/SCIE/SCI
INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,SSCI/SCIE/SCI
International Journal of the History of Sport,SSCI/SCI/AHCI
International Journal of Transgender Health,SSCI/SCIE/SCI
INTERNATIONAL LABOR AND WORKING-CLASS HISTORY,SSCI/SCI/AHCI
International Multilingual Research Journal,SSCI/SCI/AHCI
INTERNATIONAL NURSING REVIEW,SSCI/SCIE/SCI
INTERNATIONAL PSYCHOGERIATRICS,SSCI/SCIE/SCI
INTERNATIONAL REVIEW OF SOCIAL HISTORY,SSCI/SCI/AHCI
International Transactions in Operational Research,SSCI/SCIE/SCI
Internet Interventions-The Application of Information Technology in Mental and Behavioural Health,SSCI/SCIE/SCI
Internet Research,SSCI/SCIE/SCI
Interpreter and Translator Trainer,SSCI/SCI/AHCI
Interpreting,SSCI/SCI/AHCI
Intersecciones en Antropologia,SSCI/SCI/AHCI
Interventions-International Journal of Postcolonial Studies,SSCI/SCI/AHCI
Iranian Journal of Public Health,SSCI/SCIE/SCI
Iranian Studies,SSCI/SCI/AHCI
ISIS,SSCI/SCIE/SCI/AHCI
Issues in Mental Health Nursing,SSCI/SCIE/SCI
ISSUES IN SCIENCE AND TECHNOLOGY,SSCI/SCIE/SCI
Itinerario-Journal of Imperial and Global Interactions,SSCI/SCI/AHCI
JAMA Health Forum,SSCI/SCIE/SCI
JAMA Psychiatry,SSCI/SCIE/SCI
JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE,SSCI/SCIE/SCI
Japan Journal of Nursing Science,SSCI/SCIE/SCI
JMIR Aging,SSCI/SCIE/SCI
JMIR Public Health and Surveillance,SSCI/SCIE/SCI
JNP- The Journal for Nurse Practitioners,SSCI/SCIE/SCI
JOGNN-JOURNAL OF OBSTETRIC GYNECOLOGIC AND NEONATAL NURSING,SSCI/SCIE/SCI
Journal for Healthcare Quality,SSCI/SCIE/SCI
Journal for Specialists in Pediatric Nursing,SSCI/SCIE/SCI
JOURNAL FOR THE HISTORY OF ASTRONOMY,SCIE/SCI/AHCI
JOURNAL FOR THE SCIENTIFIC STUDY OF RELIGION,SSCI/SCI/AHCI
Journal of Addictions Nursing,SSCI/SCIE/SCI
Journal of Adolescent Health,SSCI/SCIE/SCI
JOURNAL OF ADVANCED NURSING,SSCI/SCIE/SCI
JOURNAL OF AFFECTIVE DISORDERS,SSCI/SCIE/SCI
Journal of African Cultural Studies,SSCI/SCI/AHCI
JOURNAL OF AFRICAN HISTORY,SSCI/SCI/AHCI
Journal of African Languages and Linguistics,SSCI/SCI/AHCI
Journal of African Media Studies,SSCI/SCI/AHCI
JOURNAL OF AGING AND PHYSICAL ACTIVITY,SSCI/SCIE/SCI
JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,SSCI/SCIE/SCI
JOURNAL OF AGRICULTURAL ECONOMICS,SSCI/SCIE/SCI
JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS,SSCI/SCIE/SCI/AHCI
JOURNAL OF AMERICAN HISTORY,SSCI/SCI/AHCI
JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,SSCI/SCI/AHCI
Journal of Applied Philosophy,SSCI/SCI/AHCI
JOURNAL OF APPLIED SPORT PSYCHOLOGY,SSCI/SCIE/SCI
JOURNAL OF ARCHAEOLOGICAL METHOD AND THEORY,SSCI/SCI/AHCI
JOURNAL OF ARCHAEOLOGICAL RESEARCH,SSCI/SCI/AHCI
JOURNAL OF ARCHAEOLOGICAL SCIENCE,SSCI/SCIE/SCI/AHCI
Journal of Asian Architecture and Building Engineering,SCIE/SCI/AHCI
JOURNAL OF ASIAN STUDIES,SSCI/SCI/AHCI
Journal of Attention Disorders,SSCI/SCIE/SCI
Journal of Australian Studies,SSCI/SCI/AHCI
Journal of Behavioral Addictions,SSCI/SCIE/SCI
JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH,SSCI/SCIE/SCI
Journal of Beliefs & Values-Studies in Religion & Education,SSCI/SCI/AHCI
Journal of Bioethical Inquiry,SSCI/SCIE/SCI
JOURNAL OF BIOLOGICAL EDUCATION,SSCI/SCIE/SCI
JOURNAL OF BRITISH STUDIES,SSCI/SCI/AHCI
JOURNAL OF BUSINESS & ECONOMIC STATISTICS,SSCI/SCIE/SCI
Journal of Cancer Survivorship,SSCI/SCIE/SCI
Journal of Cardiovascular Nursing,SSCI/SCIE/SCI
Journal of Causal Inference,SSCI/SCIE/SCI
Journal of Child Health Care,SSCI/SCIE/SCI
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,SSCI/SCIE/SCI
JOURNAL OF CHINESE LINGUISTICS,SSCI/SCI/AHCI
JOURNAL OF CLASSIFICATION,SSCI/SCIE/SCI
JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY,SSCI/SCIE/SCI
JOURNAL OF CLINICAL NURSING,SSCI/SCIE/SCI
JOURNAL OF CLINICAL PSYCHIATRY,SSCI/SCIE/SCI
JOURNAL OF COGNITIVE NEUROSCIENCE,SSCI/SCIE/SCI
Journal of Cold War Studies,SSCI/SCI/AHCI
JOURNAL OF COMMUNICATION DISORDERS,SSCI/SCIE/SCI
Journal of Community Health Nursing,SSCI/SCIE/SCI
Journal of Comparative Germanic Linguistics,SSCI/SCI/AHCI
JOURNAL OF COMPARATIVE PSYCHOLOGY,SSCI/SCIE/SCI
JOURNAL OF CONSCIOUSNESS STUDIES,SSCI/SCI/AHCI
Journal of Consumer Culture,SSCI/SCI/AHCI
JOURNAL OF CONTEMPORARY HISTORY,SSCI/SCI/AHCI
JOURNAL OF CONTINUING EDUCATION IN NURSING,SSCI/SCIE/SCI
Journal of Cultural Economy,SSCI/SCI/AHCI
JOURNAL OF CULTURAL HERITAGE,SCIE/SCI/AHCI
JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS,SSCI/SCIE/SCI
Journal of Early Modern History,SSCI/SCI/AHCI
JOURNAL OF EAST ASIAN LINGUISTICS,SSCI/SCI/AHCI
Journal of Eating Disorders,SSCI/SCIE/SCI
Journal of Econometrics,SSCI/SCIE/SCI
JOURNAL OF ECONOMIC HISTORY,SSCI/SCI/AHCI
JOURNAL OF ECT,SSCI/SCIE/SCI
Journal of Emergency Nursing,SSCI/SCIE/SCI
Journal of Empirical Research on Human Research Ethics,SSCI/SCIE/SCI
JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT,SSCI/SCIE/SCI
JOURNAL OF ENGINEERING EDUCATION,SSCI/SCIE/SCI
Journal of English for Academic Purposes,SSCI/SCI/AHCI
JOURNAL OF ENGLISH LINGUISTICS,SSCI/SCI/AHCI
JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,SSCI/SCIE/SCI
Journal of Epidemiology and Global Health,SSCI/SCIE/SCI
JOURNAL OF ETHNICITY IN SUBSTANCE ABUSE,SSCI/SCIE/SCI
JOURNAL OF ETHNOBIOLOGY,SSCI/SCIE/SCI
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,SSCI/SCIE/SCI
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,SSCI/SCIE/SCI
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,SSCI/SCIE/SCI
Journal of Family Nursing,SSCI/SCIE/SCI
JOURNAL OF FLUENCY DISORDERS,SSCI/SCIE/SCI
Journal of Forensic Nursing,SSCI/SCIE/SCI
Journal of Forest Economics,SSCI/SCIE/SCI
Journal of French Language Studies,SSCI/SCI/AHCI
Journal of Genetic Counseling,SSCI/SCIE/SCI
JOURNAL OF GENETIC PSYCHOLOGY,SSCI/SCIE/SCI
Journal of Germanic Linguistics,SSCI/SCI/AHCI
Journal of Gerontological Nursing,SSCI/SCIE/SCI
Journal of Global Health,SSCI/SCIE/SCI
Journal of Global History,SSCI/SCI/AHCI
JOURNAL OF HEAD TRAUMA REHABILITATION,SSCI/SCIE/SCI
JOURNAL OF HEALTH ECONOMICS,SSCI/SCIE/SCI
JOURNAL OF HEALTH POLITICS POLICY AND LAW,SSCI/SCIE/SCI
Journal of Historical Pragmatics,SSCI/SCI/AHCI
Journal of Hospice & Palliative Nursing,SSCI/SCIE/SCI
JOURNAL OF HUMAN EVOLUTION,SSCI/SCIE/SCI
JOURNAL OF INFORMATION SCIENCE,SSCI/SCIE/SCI
JOURNAL OF INFORMATION TECHNOLOGY,SSCI/SCIE/SCI
Journal of Informetrics,SSCI/SCIE/SCI
Journal of Intelligent Transportation Systems,SSCI/SCIE/SCI
JOURNAL OF INTERDISCIPLINARY HISTORY,SSCI/SCI/AHCI
Journal of Interprofessional Care,SSCI/SCIE/SCI
Journal of Israeli History,SSCI/SCI/AHCI
Journal of Korean Academy of Nursing,SSCI/SCIE/SCI
Journal of Language and Politics,SSCI/SCI/AHCI
Journal of Language Identity and Education,SSCI/SCI/AHCI
Journal of Latin American Cultural Studies,SSCI/SCI/AHCI
JOURNAL OF LATIN AMERICAN STUDIES,SSCI/SCI/AHCI
Journal of Law and the Biosciences,SSCI/SCIE/SCI
JOURNAL OF LAW MEDICINE & ETHICS,SSCI/SCIE/SCI
Journal of Linguistic Anthropology,SSCI/SCI/AHCI
JOURNAL OF LINGUISTICS,SSCI/SCI/AHCI
Journal of Logic Language and Information,SCIE/SCI/AHCI
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,SSCI/SCIE/SCI
Journal of Manufacturing Technology Management,SSCI/SCIE/SCI
Journal of Maps,SSCI/SCIE/SCI
JOURNAL OF MATERIAL CULTURE,SSCI/SCI/AHCI
JOURNAL OF MATHEMATICAL ECONOMICS,SSCI/SCIE/SCI
JOURNAL OF MATHEMATICAL PSYCHOLOGY,SSCI/SCIE/SCI
JOURNAL OF MATHEMATICAL SOCIOLOGY,SSCI/SCIE/SCI
Journal of Mathematics and Music,SCIE/SCI/AHCI
JOURNAL OF MEDICAL ETHICS,SSCI/SCIE/SCI
Journal Of Memory And Language,SSCI
Journal of Mens Health,SSCI/SCIE/SCI
JOURNAL OF MIDWIFERY & WOMENS HEALTH,SSCI/SCIE/SCI
Journal of Modern European History,SSCI/SCI/AHCI
JOURNAL OF MODERN HISTORY,SSCI/SCI/AHCI
JOURNAL OF MODERN ITALIAN STUDIES,SSCI/SCI/AHCI
Journal of Moral Philosophy,SSCI/SCI/AHCI
JOURNAL OF MOTOR BEHAVIOR,SSCI/SCIE/SCI
JOURNAL OF MULTILINGUAL AND MULTICULTURAL DEVELOPMENT,SSCI/SCI/AHCI
JOURNAL OF NERVOUS AND MENTAL DISEASE,SSCI/SCIE/SCI
JOURNAL OF NEUROLINGUISTICS,SSCI/SCIE/SCI
Journal of Neuropsychology,SSCI/SCIE/SCI
JOURNAL OF NEUROSCIENCE NURSING,SSCI/SCIE/SCI
JOURNAL OF NEW MUSIC RESEARCH,SCIE/SCI/AHCI
JOURNAL OF NURSING ADMINISTRATION,SSCI/SCIE/SCI
JOURNAL OF NURSING CARE QUALITY,SSCI/SCIE/SCI
JOURNAL OF NURSING EDUCATION,SSCI/SCIE/SCI
Journal of Nursing Management,SSCI/SCIE/SCI
Journal of Nursing Regulation,SSCI/SCIE/SCI
Journal of Nursing Research,SSCI/SCIE/SCI
JOURNAL OF NURSING SCHOLARSHIP,SSCI/SCIE/SCI
Journal of Obsessive-Compulsive and Related Disorders,SSCI/SCIE/SCI
Journal of Official Statistics,SSCI/SCIE/SCI
JOURNAL OF OPERATIONS MANAGEMENT,SSCI/SCIE/SCI
Journal of Organizational and End User Computing,SSCI/SCIE/SCI
JOURNAL OF PALLIATIVE CARE,SSCI/SCIE/SCI
Journal of Patient Safety,SSCI/SCIE/SCI
Journal of Pediatric Health Care,SSCI/SCIE/SCI
Journal of Pediatric Hematology-Oncology Nursing,SSCI/SCIE/SCI
Journal of Pediatric Nursing-Nursing Care of Children & Families,SSCI/SCIE/SCI
Journal of PeriAnesthesia Nursing,SSCI/SCIE/SCI
JOURNAL OF PERINATAL & NEONATAL NURSING,SSCI/SCIE/SCI
JOURNAL OF PHONETICS,SSCI/SCI/AHCI
JOURNAL OF PIDGIN AND CREOLE LANGUAGES,SSCI/SCI/AHCI
Journal of Policy History,SSCI/SCI/AHCI
Journal of Politeness Research-Language Behaviour Culture,SSCI/SCI/AHCI
JOURNAL OF POPULAR CULTURE,SSCI/SCI/AHCI
JOURNAL OF PRAGMATICS,SSCI/SCI/AHCI
JOURNAL OF PRODUCT INNOVATION MANAGEMENT,SSCI/SCIE/SCI
JOURNAL OF PROFESSIONAL NURSING,SSCI/SCIE/SCI
Journal of Psychiatric and Mental Health Nursing,SSCI/SCIE/SCI
JOURNAL OF PSYCHIATRIC RESEARCH,SSCI/SCIE/SCI
JOURNAL OF PSYCHIATRY & NEUROSCIENCE,SSCI/SCIE/SCI
JOURNAL OF PSYCHOLOGY AND THEOLOGY,SSCI/SCI/AHCI
JOURNAL OF PSYCHOPHYSIOLOGY,SSCI/SCIE/SCI
JOURNAL OF PSYCHOSOCIAL NURSING AND MENTAL HEALTH SERVICES,SSCI/SCIE/SCI
Journal of Psychosomatic Obstetrics & Gynecology,SSCI/SCIE/SCI
JOURNAL OF PSYCHOSOMATIC RESEARCH,SSCI/SCIE/SCI
JOURNAL OF PUBLIC HEALTH,SSCI/SCIE/SCI
JOURNAL OF PUBLIC HEALTH POLICY,SSCI/SCIE/SCI
Journal of Quantitative Linguistics,SSCI/SCI/AHCI
JOURNAL OF RELIGION & HEALTH,SSCI/SCI/AHCI
Journal of Renal Care,SSCI/SCIE/SCI
JOURNAL OF RESEARCH IN MUSIC EDUCATION,SSCI/SCI/AHCI
JOURNAL OF RURAL HEALTH,SSCI/SCIE/SCI
JOURNAL OF SCHOLARLY PUBLISHING,SSCI/SCI/AHCI
JOURNAL OF SCHOOL HEALTH,SSCI/SCIE/SCI
Journal of School Nursing,SSCI/SCIE/SCI
Journal of Science Education and Technology,SSCI/SCIE/SCI
Journal of Semantics,SSCI/SCI/AHCI
JOURNAL OF SOCIAL ARCHAEOLOGY,SSCI/SCI/AHCI
JOURNAL OF SOCIAL HISTORY,SSCI/SCI/AHCI
Journal of Social Philosophy,SSCI/SCI/AHCI
JOURNAL OF SOUTHEAST ASIAN STUDIES,SSCI/SCI/AHCI
Journal of Spanish Cultural Studies,SSCI/SCI/AHCI
Journal of Specialised Translation,SSCI/SCI/AHCI
JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,SSCI/SCIE/SCI
Journal of Sport and Health Science,SSCI/SCIE/SCI
JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,SSCI/SCIE/SCI
JOURNAL OF SPORT MANAGEMENT,SSCI/SCIE/SCI
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,SSCI/SCIE/SCI
Journal of Studies on Alcohol and Drugs,SSCI/SCIE/SCI
Journal of Survey Statistics and Methodology,SSCI/SCIE/SCI
JOURNAL OF TEACHING IN PHYSICAL EDUCATION,SSCI/SCIE/SCI
Journal of the Academy of Consultation-Liaison Psychiatry,SSCI/SCIE/SCI
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,SSCI/SCIE/SCI
Journal of the American Association of Nurse Practitioners,SSCI/SCIE/SCI
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,SSCI/SCIE/SCI
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,SSCI/SCIE/SCI
Journal of the American Psychiatric Nurses Association,SSCI/SCIE/SCI
Journal of the Association for Information Science and Technology,SSCI/SCIE/SCI
Journal of the Association for Information Systems,SSCI/SCIE/SCI
Journal of the Economic and Social History of the Orient,SSCI/SCI/AHCI
JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,SSCI/SCIE/SCI
Journal of the Gilded Age and Progressive Era,SSCI/SCI/AHCI
JOURNAL OF THE HISTORY OF BIOLOGY,SSCI/SCIE/SCI/AHCI
Journal of the History of Economic Thought,SSCI/SCI/AHCI
JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES,SSCI/SCIE/SCI/AHCI
JOURNAL OF THE HISTORY OF SEXUALITY,SSCI/SCI/AHCI
Journal of the International Phonetic Association,SSCI/SCI/AHCI
JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,SSCI/SCIE/SCI
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,SSCI/SCIE/SCI
Journal of Tissue Viability,SSCI/SCIE/SCI
Journal of Transcultural Nursing,SSCI/SCIE/SCI
Journal of Trauma Nursing,SSCI/SCIE/SCI
JOURNAL OF URBAN HISTORY,SSCI/SCI/AHCI
JOURNAL OF URBAN PLANNING AND DEVELOPMENT,SSCI/SCIE/SCI
JOURNAL OF VALUE INQUIRY,SSCI/SCI/AHCI
Journal of Victorian Culture,SSCI/SCI/AHCI
JOURNAL OF VISUAL CULTURE,SSCI/SCI/AHCI
Journal of Wine Economics,SSCI/SCIE/SCI
JOURNAL OF WOMENS HEALTH,SSCI/SCIE/SCI
JOURNAL OF WOMENS HISTORY,SSCI/SCI/AHCI
JOURNAL OF WORLD PREHISTORY,SSCI/SCI/AHCI
Journal of Wound Ostomy and Continence Nursing,SSCI/SCIE/SCI
JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,SSCI/SCIE/SCI
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,SSCI/SCIE/SCI
KENNEDY INSTITUTE OF ETHICS JOURNAL,SSCI/SCI/AHCI
Kinesiology,SSCI/SCIE/SCI
Laboratory Phonology,SSCI/SCI/AHCI
LABOR HISTORY,SSCI/SCI/AHCI
LABOUR-LE TRAVAIL,SSCI/SCI/AHCI
LANCET,SSCI/SCIE/SCI
Lancet Diabetes & Endocrinology,SSCI/SCIE/SCI
Lancet Gastroenterology & Hepatology,SSCI/SCIE/SCI
Lancet Global Health,SSCI/SCIE/SCI
Lancet Planetary Health,SSCI/SCIE/SCI
Lancet Psychiatry,SSCI/SCIE/SCI
Lancet Public Health,SSCI/SCIE/SCI
Lancet Regional Health-Europe,SSCI/SCIE/SCI
Lancet Regional Health-Western Pacific,SSCI/SCIE/SCI
Langages,SSCI/SCI/AHCI
LANGUAGE,SSCI/SCI/AHCI
Language Acquisition,SSCI/SCI/AHCI
Language and Cognition,SSCI/SCI/AHCI
Language and Education,SSCI/SCI/AHCI
Language and Intercultural Communication,SSCI/SCI/AHCI
Language and Linguistics,SSCI/SCI/AHCI
Language and Literature,SSCI/SCI/AHCI
LANGUAGE AND SPEECH,SSCI/SCIE/SCI
Language Assessment Quarterly,SSCI/SCI/AHCI
Language Awareness,SSCI/SCI/AHCI
Language Cognition and Neuroscience,SSCI/SCIE/SCI
Language Culture and Curriculum,SSCI/SCI/AHCI
Language & History,SSCI/SCI/AHCI
Language Learning and Development,SSCI/SCI/AHCI
Language Matters,SSCI/SCI/AHCI
Language Policy,SSCI/SCI/AHCI
Language Problems & Language Planning,SSCI/SCI/AHCI
LANGUAGE SCIENCES,SSCI/SCI/AHCI
LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,SSCI/SCIE/SCI
Language Teaching,SSCI
Language Testing,SSCI/SCI/AHCI
Language Variation and Change,SSCI/SCI/AHCI
LATIN AMERICAN ANTIQUITY,SSCI/SCI/AHCI
Law and History Review,SSCI/SCI/AHCI
LAW PROBABILITY & RISK,SSCI/SCIE/SCI
LEARNING & BEHAVIOR,SSCI/SCIE/SCI
Lexikos,SSCI/SCI/AHCI
LGBT Health,SSCI/SCIE/SCI
LINGUA,SSCI/SCI/AHCI
Linguistica Antverpiensia New Series-Themes in Translation Studies,SSCI/SCI/AHCI
Linguistic Approaches to Bilingualism,SSCI/SCI/AHCI
LINGUISTIC INQUIRY,SSCI/SCI/AHCI
LINGUISTIC REVIEW,SSCI/SCI/AHCI
LINGUISTICS,SSCI/SCI/AHCI
Linguistics and Education,SSCI/SCI/AHCI
LINGUISTICS AND PHILOSOPHY,SSCI/SCI/AHCI
Linguistics Vanguard,SSCI/SCI/AHCI
Linguistic Typology,SSCI/SCI/AHCI
Literacy,SSCI/SCI/AHCI
Lithic Technology,SSCI/SCI/AHCI
London Journal,SSCI/SCI/AHCI
MANAGEMENT SCIENCE,SSCI/SCIE/SCI
Marine Resource Economics,SSCI/SCIE/SCI
MATHEMATICAL FINANCE,SSCI/SCIE/SCI
Mathematical Population Studies,SSCI/SCIE/SCI
MATHEMATICAL SOCIAL SCIENCES,SSCI/SCIE/SCI
Mathematics and Financial Economics,SSCI/SCIE/SCI
MCN-The American Journal of Maternal-Child Nursing,SSCI/SCIE/SCI
Measurement in Physical Education and Exercise Science,SSCI/SCIE/SCI
MEDIA PSYCHOLOGY,SSCI/SCI/AHCI
MEDICAL CARE,SSCI/SCIE/SCI
MEDICAL CARE RESEARCH AND REVIEW,SSCI/SCIE/SCI
MEDICAL DECISION MAKING,SSCI/SCIE/SCI
MEDICAL HISTORY,SSCI/SCIE/SCI/AHCI
Medical Law Review,SSCI/SCIE/SCI
MEDICAL PROBLEMS OF PERFORMING ARTISTS,SCIE/SCI/AHCI
Medicine Health Care and Philosophy,SSCI/SCI/AHCI
MEDICINE SCIENCE AND THE LAW,SSCI/SCIE/SCI
Mediterranean Historical Review,SSCI/SCI/AHCI
Memory Studies,SSCI/SCI/AHCI
METAPHOR AND SYMBOL,SSCI/SCI/AHCI
MIDWIFERY,SSCI/SCIE/SCI
MILBANK QUARTERLY,SSCI/SCIE/SCI
MIS QUARTERLY,SSCI/SCIE/SCI
Modern Chinese Literature and Culture,SSCI/SCI/AHCI
Modern Italy,SSCI/SCI/AHCI
MOUVEMENT SOCIAL,SSCI/SCI/AHCI
M&SOM-Manufacturing & Service Operations Management,SSCI/SCIE/SCI
Multilingua-Journal of Cross-Cultural and Interlanguage Communication,SSCI/SCI/AHCI
Multisensory Research,SSCI/SCIE/SCI
MULTIVARIATE BEHAVIORAL RESEARCH,SSCI/SCIE/SCI
MUSICAE SCIENTIAE,SSCI/SCI/AHCI
Music Education Research,SSCI/SCI/AHCI
MUSIC PERCEPTION,SSCI/SCI/AHCI
Names-A Journal of Onomastics,SSCI/SCI/AHCI
NanoEthics,SSCI/SCIE/SCI
NARRATIVE INQUIRY,SSCI/SCI/AHCI
Natural Hazards Review,SSCI/SCIE/SCI
NATURAL LANGUAGE & LINGUISTIC THEORY,SSCI/SCI/AHCI
NATURAL LANGUAGE PROCESSING,SSCI/SCIE/SCI/AHCI
Natural Language Semantics,SSCI/SCI/AHCI
NATURAL RESOURCES FORUM,SSCI/SCIE/SCI
NATURE BIOTECHNOLOGY,SSCI/SCIE/SCI
Nature Climate Change,SSCI/SCIE/SCI
Nature Plants,SSCI/SCIE/SCI
NATURE REVIEWS CANCER,SSCI/SCIE/SCI
Nature Reviews Cardiology,SSCI/SCIE/SCI
Nature Reviews Disease Primers,SSCI/SCIE/SCI
NATURE REVIEWS DRUG DISCOVERY,SSCI/SCIE/SCI
NATURE REVIEWS GENETICS,SSCI/SCIE/SCI
NATURE REVIEWS MOLECULAR CELL BIOLOGY,SSCI/SCIE/SCI
Nephrology Nursing Journal,SSCI/SCIE/SCI
NEUROBIOLOGY OF LEARNING AND MEMORY,SSCI/SCIE/SCI
Neuroethics,SSCI/SCIE/SCI
Neuropsychologia,SSCI/SCIE/SCI
NEUROPSYCHOLOGY,SSCI/SCIE/SCI
NEUROPSYCHOLOGY REVIEW,SSCI/SCIE/SCI
NEUROREHABILITATION,SSCI/SCIE/SCI
NEW GENETICS AND SOCIETY,SSCI/SCIE/SCI
Nexus Network Journal,SCIE/SCI/AHCI
NICOTINE & TOBACCO RESEARCH,SSCI/SCIE/SCI
Nordic Journal of Linguistics,SSCI/SCI/AHCI
NORDIC JOURNAL OF PSYCHIATRY,SSCI/SCIE/SCI
NORTHERN HISTORY,SSCI/SCI/AHCI
Notes and Records-The Royal Society Journal of the History of Science,SCIE/SCI/AHCI
Notre Dame Journal of Formal Logic,SCIE/SCI/AHCI
NPJ HERITAGE SCIENCE,SCIE/SCI/AHCI
npj Science of Learning,SSCI/SCIE/SCI
Nuncius-Journal of the History of Science,SSCI/SCIE/SCI/AHCI
Nurse Education in Practice,SSCI/SCIE/SCI
NURSE EDUCATION TODAY,SSCI/SCIE/SCI
Nurse Educator,SSCI/SCIE/SCI
NURSING CLINICS OF NORTH AMERICA,SSCI/SCIE/SCI
NURSING ECONOMICS,SSCI/SCIE/SCI
NURSING ETHICS,SSCI/SCIE/SCI
Nursing & Health Sciences,SSCI/SCIE/SCI
Nursing in Critical Care,SSCI/SCIE/SCI
Nursing Inquiry,SSCI/SCIE/SCI
Nursing Open,SSCI/SCIE/SCI
NURSING OUTLOOK,SSCI/SCIE/SCI
Nursing Philosophy,SSCI/SCIE/SCI
NURSING RESEARCH,SSCI/SCIE/SCI
NURSING SCIENCE QUARTERLY,SSCI/SCIE/SCI
NWIG-New West Indian Guide-Nieuwe West-Indische Gids,SSCI/SCI/AHCI
Occupational Therapy International,SSCI/SCIE/SCI
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,SSCI/SCIE/SCI
ONCOLOGY NURSING FORUM,SSCI/SCIE/SCI
ONLINE INFORMATION REVIEW,SSCI/SCIE/SCI
Onomazein,SSCI/SCI/AHCI
Open House International-Sustainable & Smart Architecture and Urban Studies,SSCI/SCI/AHCI
OPERATIONS RESEARCH,SSCI/SCIE/SCI
Oral History Review,SSCI/SCI/AHCI
Orthopaedic Nursing,SSCI/SCIE/SCI
OSIRIS,SSCI/SCIE/SCI/AHCI
OXFORD BULLETIN OF ECONOMICS AND STATISTICS,SSCI/SCIE/SCI
Pain Management Nursing,SSCI/SCIE/SCI
Parallax,SSCI/SCI/AHCI
PAST & PRESENT,SSCI/SCI/AHCI
PATIENT EDUCATION AND COUNSELING,SSCI/SCIE/SCI
Patient-Patient Centered Outcomes Research,SSCI/SCIE/SCI
PATTERNS OF PREJUDICE,SSCI/SCI/AHCI
PERCEPTION,SSCI/SCIE/SCI
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,SSCI/SCIE/SCI
PERSPECTIVES IN PSYCHIATRIC CARE,SSCI/SCIE/SCI
Perspectives-Studies in Translation Theory and Practice,SSCI/SCI/AHCI
Pflege,SSCI/SCIE/SCI
